Lugar,Comuna,Región,Lat,Long
Río Lluta--Desembocadura,Arica,XV,-18.416539,-70.322408
Playa Las Machas (Arica),Arica,XV,-18.438250,-70.305462
Playa Chinchorro,Arica,XV,-18.459719,-70.304786
Río San José--Desembocadura,Arica,XV,-18.468456,-70.312028
Arica--Puerto,Arica,XV,-18.472405,-70.323851
El Alacrán,Arica,XV,-18.480586,-70.331898
Playa El Laucho,Arica,XV,-18.487492,-70.326451
Hoteles Apacheta y Arica,Arica,XV,-18.490764,-70.329129
Playa La Lisera,Arica,XV,-18.493364,-70.326212
Playa Brava,Arica,XV,-18.495764,-70.325109
Playa Arenillas negras,Arica,XV,-18.499868,-70.321931
Río Vitor--Desembocadura,Arica,XV,-18.752179,-70.334387
Río Camarones--Desembocadura,Camarones,XV,-19.186313,-70.271516
Calderilla,Caldera,III,-27.090918,-70.852890
Rocas Negras,Caldera,III,-27.131069,-70.869901
SN Humedal Río Copiapó--Desembocadura,Caldera,III,-27.317790,-70.926361
Caleta Totoral (Bahia protegida),Copiapó,III,-27.831128,-71.085843
Carrizal Bajo--Humedal,Huasco,III,-28.084021,-71.142612
Río Huasco--Desembocadura,Huasco,III,-28.448166,-71.200204
Huasco Bajo - puente,Huasco,III,-28.470917,-71.177673
SN Humedal La Boca,La Higuera,IV,-29.306497,-71.363154
Punta Teatinos--Laguna Saladita,La Serena,IV,-29.822085,-71.288652
Río Elqui--Desembocadura,La Serena,IV,-29.893397,-71.272709
Estero El Culebrón--Desembocadura,Coquimbo,IV,-29.961701,-71.321821
Humedal Lagunillas,Coquimbo,IV,-30.117958,-71.370535
Estero Tongoy--Desembocadura,Tongoy,IV,-30.254970,-71.493590
SN Humedales de Tongoy--Salinas Chicas,Tongoy,IV,-30.282849,-71.506243
SN Humedales de Tongoy--Salinas Grandes,Tongoy,IV,-30.298128,-71.537872
SN Humedales de Tongoy--Estero Pachingo Desembocadura,Tongoy,IV,-30.305207,-71.572366
Río Limarí --Desembocadura,Ovalle,IV,-30.727745,-71.695404
Humedal La Cebada,Ovalle,IV,-30.975975,-71.645782
Humedal Caleta Teniente,Ovalle,IV,-31.006451,-71.644249
Río Choapa--Desembocadura,Canela,IV,-31.620424,-71.559277
Estero Chigualoco--Desembocadura,Los Vilos,IV,-31.751835,-71.514999
SN Laguna Conchalí,Los Vilos,IV,-31.878068,-71.496663
Río Quilimarí--Desembocadura,Los Vilos,IV,-32.118565,-71.511984
Estero Pichidangui--Desembocadura,Los Vilos,IV,-32.138645,-71.525781
Pichicuy--Humedal,La Ligua,V,-32.346902,-71.446624
SN Humedal Salinas de Pullally y Dunas de Longotoma--Desembocadura,Papudo,V,-32.410110,-71.410789
Estero Mantagua,Quintero,V,-32.884417,-71.506748
Río Aconcagua--Desembocadura Humedal Urbano,Concon,V,-32.917422,-71.506791
Tranque La Cadellada,Lampa,XIII,-33.204941,-70.789204
SN Laguna Batuco,Lampa,XIII,-33.206443,-70.827913
SN Humedal de Tunquén--Desembocadura Estero Casablanca,Algarrobo,V,-33.278503,-71.662445
Lampa--Puente Negro Sur †,Lampa,XIII,-33.285302,-70.804353
Humedal el Membrillo,Algarrobo,V,-33.344305,-71.650398
Estero San Jerónimo--Desembocadura,Algarrobo,V,-33.355364,-71.654710
Isla Negra--Playa las Agatas,El Quisco,V,-33.445292,-71.679858
Humedal Córdova,El Quisco,V,-33.445332,-71.678551
Torre de Agua Humedal Córdova,El Quisco,V,-33.445332,-71.678550
SN Laguna El Peral,El Tabo,V,-33.505215,-71.607154
Estero Cartagena—Desembocadura (Humedal Urbano),Cartagena,V,-33.530377,-71.602321
Cartagena--Playa Grande frente al Humedal,Cartagena,V,-33.534759,-71.603474
Humedal Urbano Cartagena,Cartagena,V,-33.535045,-71.602235
Río Mapocho--Camino El Guanaco,Peñaflor,XIII,-33.591672,-70.894850
Humedal El Trapiche,Peñaflor,XIII,-33.596456,-70.897221
Humedal Ojos de Mar--Laguna Llolleo norte,San Antonio,V,-33.604457,-71.622236
Humedal Ojos de Mar--Laguna Llolleo sur,San Antonio,V,-33.608387,-71.624481
